[13/01/2025 21:01:02] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:02] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:02] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:03] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:03] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:03] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:03] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:03] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:03] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:04] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:04] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:04] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:04] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:04] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:04] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:05] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:05] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:05] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:05] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:05] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
